receive_index,topic_name,message_type,receive_wall_time_iso8601,receive_ros_time_sec,receive_ros_time_nanosec,receive_ros_time_ns,delta_receive_ms,source_stamp_sec,source_stamp_nanosec,source_stamp_ns,sequence,prev_sequence,delta_seq,sequence_gap,estimated_missing,seq,mode,status,move_ready,limits_ok,delta_ok,move_executed,axis_actual.A1,axis_actual.A2,axis_actual.A3,axis_actual.A4,axis_actual.A5,axis_actual.A6,position_actual.X,position_actual.Y,position_actual.Z,position_actual.A,position_actual.B,position_actual.C,rx_counter,bridge_safe_mode,bridge_allow_motion,batch_seq,batch_consumed,batch_active,unmapped_json
1,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-31T20:49:47.831381-04:00,1788223787,831369545,1788223787831369545,,,,,29319,,,0,0,29319,AxisTarget,1,False,True,False,False,0.1935,-90.180397,89.82,0.0672,-0.0103,-0.0852,523.33429,-1.767401,893.156494,2.586455,89.628868,2.779885,7810,False,True,33,399,False,
2,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-31T20:49:48.052569-04:00,1788223788,52558111,1788223788052558111,221.188566,,,,29320,29319,1,0,0,29320,AxisTarget,1,False,True,False,False,0.1935,-90.180397,89.82,0.0672,-0.0103,-0.0852,523.33429,-1.767401,893.156494,2.586455,89.628868,2.779885,7811,False,True,33,399,False,
3,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-31T20:49:48.176627-04:00,1788223788,176621427,1788223788176621427,124.063316,,,,29321,29320,1,0,0,29321,AxisTarget,1,False,True,False,False,0.1935,-90.180397,89.82,0.0672,-0.0103,-0.0852,523.33429,-1.767401,893.156494,2.586455,89.628868,2.779885,7811,False,True,33,399,False,
4,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-31T20:49:48.300407-04:00,1788223788,300396240,1788223788300396240,123.774813,,,,29322,29321,1,0,0,29322,AxisTarget,1,False,True,False,False,0.1935,-90.180397,89.82,0.0672,-0.0103,-0.0852,523.33429,-1.767401,893.156494,2.586455,89.628868,2.779885,7811,False,True,33,399,False,
5,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-31T20:49:48.422330-04:00,1788223788,422296072,1788223788422296072,121.899832,,,,29323,29322,1,0,0,29323,AxisTarget,1,False,True,False,False,0.1935,-90.180397,89.82,0.0672,-0.0103,-0.0852,523.33429,-1.767401,893.156494,2.586455,89.628868,2.779885,7811,False,True,33,399,False,
6,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-31T20:49:48.645683-04:00,1788223788,645662824,1788223788645662824,223.366752,,,,29324,29323,1,0,0,29324,AxisTarget,1,False,True,False,False,0.1935,-90.180397,89.82,0.0672,-0.0103,-0.0852,523.33429,-1.767401,893.156494,2.586455,89.628868,2.779885,7812,False,True,33,399,False,
7,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-31T20:49:48.768832-04:00,1788223788,768813305,1788223788768813305,123.150481,,,,29325,29324,1,0,0,29325,AxisTarget,1,False,True,False,False,0.1935,-90.180397,89.82,0.0672,-0.0103,-0.0852,523.33429,-1.767401,893.156494,2.586455,89.628868,2.779885,7812,False,True,33,399,False,
8,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-31T20:49:48.892313-04:00,1788223788,892302783,1788223788892302783,123.489478,,,,29326,29325,1,0,0,29326,AxisTarget,1,False,True,False,False,0.1935,-90.180397,89.82,0.0672,-0.0103,-0.0852,523.33429,-1.767401,893.156494,2.586455,89.628868,2.779885,7812,False,True,33,399,False,
9,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-31T20:49:49.018502-04:00,1788223789,18485681,1788223789018485681,126.182898,,,,29327,29326,1,0,0,29327,AxisTarget,1,False,True,False,False,0.1935,-90.180397,89.82,0.0672,-0.0103,-0.0852,523.33429,-1.767401,893.156494,2.586455,89.628868,2.779885,7812,False,True,33,399,False,
10,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-31T20:49:49.240193-04:00,1788223789,240187431,1788223789240187431,221.70175,,,,29328,29327,1,0,0,29328,AxisTarget,1,False,True,False,False,0.1935,-90.180397,89.82,0.0672,-0.0103,-0.0852,523.33429,-1.767401,893.156494,2.586455,89.628868,2.779885,7813,False,True,33,399,False,
11,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-31T20:49:49.363923-04:00,1788223789,363901444,1788223789363901444,123.714013,,,,29329,29328,1,0,0,29329,AxisTarget,1,False,True,False,False,0.1935,-90.180397,89.82,0.0672,-0.0103,-0.0852,523.33429,-1.767401,893.156494,2.586455,89.628868,2.779885,7813,False,True,33,399,False,
12,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-31T20:49:49.489290-04:00,1788223789,489265506,1788223789489265506,125.364062,,,,29330,29329,1,0,0,29330,AxisTarget,1,False,True,False,False,0.1935,-90.180397,89.82,0.0672,-0.0103,-0.0852,523.33429,-1.767401,893.156494,2.586455,89.628868,2.779885,7813,False,True,33,399,False,
13,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-31T20:49:49.608102-04:00,1788223789,608096527,1788223789608096527,118.831021,,,,29331,29330,1,0,0,29331,AxisTarget,1,False,True,False,False,0.1935,-90.180397,89.82,0.0672,-0.0103,-0.0852,523.33429,-1.767401,893.156494,2.586455,89.628868,2.779885,7813,False,True,33,399,False,
14,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-31T20:49:49.830176-04:00,1788223789,830154335,1788223789830154335,222.057808,,,,29332,29331,1,0,0,29332,AxisTarget,1,False,True,False,False,0.1935,-90.180397,89.82,0.0672,-0.0103,-0.0852,523.33429,-1.767401,893.156494,2.586455,89.628868,2.779885,7814,False,True,33,399,False,
15,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-31T20:49:49.952459-04:00,1788223789,952450575,1788223789952450575,122.29624,,,,29333,29332,1,0,0,29333,AxisTarget,1,False,True,False,False,0.1935,-90.180397,89.82,0.0672,-0.0103,-0.0852,523.33429,-1.767401,893.156494,2.586455,89.628868,2.779885,7814,False,True,33,399,False,
16,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-31T20:49:50.080600-04:00,1788223790,80590153,1788223790080590153,128.139578,,,,29334,29333,1,0,0,29334,AxisTarget,1,False,True,False,False,0.1935,-90.180397,89.82,0.0672,-0.0103,-0.0852,523.33429,-1.767401,893.156494,2.586455,89.628868,2.779885,7814,False,True,33,399,False,
