receive_index,topic_name,message_type,receive_wall_time_iso8601,receive_ros_time_sec,receive_ros_time_nanosec,receive_ros_time_ns,delta_receive_ms,source_stamp_sec,source_stamp_nanosec,source_stamp_ns,sequence,prev_sequence,delta_seq,sequence_gap,estimated_missing,seq,mode,status,move_ready,limits_ok,delta_ok,move_executed,axis_actual.A1,axis_actual.A2,axis_actual.A3,axis_actual.A4,axis_actual.A5,axis_actual.A6,position_actual.X,position_actual.Y,position_actual.Z,position_actual.A,position_actual.B,position_actual.C,rx_counter,bridge_safe_mode,bridge_allow_motion,batch_seq,batch_consumed,batch_active,unmapped_json
1,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-27T21:28:18.498002-04:00,1787880498,497980477,1787880498497980477,,,,,3402,,,0,0,3402,AxisTarget,1,False,True,False,False,0.0051,-89.863602,90.060799,0.1525,-0.0188,-0.1752,526.200745,-0.046768,888.303894,172.743301,89.820168,172.748383,226,False,True,36,199,False,
2,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-27T21:28:18.599451-04:00,1787880498,599438171,1787880498599438171,101.457694,,,,3403,3402,1,0,0,3403,AxisTarget,1,False,True,False,False,0.0051,-89.863602,90.060799,0.1525,-0.0188,-0.1752,526.200745,-0.046768,888.303894,172.743301,89.820168,172.748383,226,False,True,36,199,False,
3,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-27T21:28:18.659180-04:00,1787880498,659168640,1787880498659168640,59.730469,,,,3404,3403,1,0,0,3404,AxisTarget,1,False,True,False,False,0.0051,-89.863602,90.060799,0.1525,-0.0188,-0.1752,526.200745,-0.046768,888.303894,172.743301,89.820168,172.748383,226,False,True,36,199,False,
4,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-27T21:28:18.787084-04:00,1787880498,787078330,1787880498787078330,127.90969,,,,3405,3404,1,0,0,3405,AxisTarget,1,False,True,False,False,0.0051,-89.863602,90.060799,0.1525,-0.0188,-0.1752,526.200745,-0.046768,888.303894,172.743301,89.820168,172.748383,226,False,True,36,199,False,
5,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-27T21:28:19.007291-04:00,1787880499,7276001,1787880499007276001,220.197671,,,,3406,3405,1,0,0,3406,AxisTarget,1,False,True,False,False,0.0051,-89.863602,90.060799,0.1525,-0.0188,-0.1752,526.200745,-0.046768,888.303894,172.743301,89.820168,172.748383,227,False,True,36,199,False,
6,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-27T21:28:19.131204-04:00,1787880499,131196343,1787880499131196343,123.920342,,,,3407,3406,1,0,0,3407,AxisTarget,1,False,True,False,False,0.0051,-89.863602,90.060799,0.1525,-0.0188,-0.1752,526.200745,-0.046768,888.303894,172.743301,89.820168,172.748383,227,False,True,36,199,False,
7,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-27T21:28:19.259351-04:00,1787880499,259339934,1787880499259339934,128.143591,,,,3408,3407,1,0,0,3408,AxisTarget,1,False,True,False,False,0.0051,-89.863602,90.060799,0.1525,-0.0188,-0.1752,526.200745,-0.046768,888.303894,172.743301,89.820168,172.748383,227,False,True,36,199,False,
8,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-27T21:28:19.386036-04:00,1787880499,386005485,1787880499386005485,126.665551,,,,3409,3408,1,0,0,3409,AxisTarget,1,False,True,False,False,0.0051,-89.863602,90.060799,0.1525,-0.0188,-0.1752,526.200745,-0.046768,888.303894,172.743301,89.820168,172.748383,227,False,True,36,199,False,
9,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-27T21:28:19.603377-04:00,1787880499,603370836,1787880499603370836,217.365351,,,,3410,3409,1,0,0,3410,AxisTarget,1,False,True,False,False,0.0051,-89.863602,90.060799,0.1525,-0.0188,-0.1752,526.200745,-0.046768,888.303894,172.743301,89.820168,172.748383,228,False,True,36,199,False,
10,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-27T21:28:19.727529-04:00,1787880499,727517038,1787880499727517038,124.146202,,,,3411,3410,1,0,0,3411,AxisTarget,1,False,True,False,False,0.0051,-89.863602,90.060799,0.1525,-0.0188,-0.1752,526.200745,-0.046768,888.303894,172.743301,89.820168,172.748383,228,False,True,36,199,False,
