receive_index,topic_name,message_type,receive_wall_time_iso8601,receive_ros_time_sec,receive_ros_time_nanosec,receive_ros_time_ns,delta_receive_ms,source_stamp_sec,source_stamp_nanosec,source_stamp_ns,sequence,prev_sequence,delta_seq,sequence_gap,estimated_missing,seq,mode,status,move_ready,limits_ok,delta_ok,move_executed,axis_actual.A1,axis_actual.A2,axis_actual.A3,axis_actual.A4,axis_actual.A5,axis_actual.A6,position_actual.X,position_actual.Y,position_actual.Z,position_actual.A,position_actual.B,position_actual.C,bridge_safe_mode,bridge_allow_motion,unmapped_json
1,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T18:56:23.740318-04:00,1787007383,740305967,1787007383740305967,,,,,644,,,0,0,644,AxisTarget,1,False,True,True,False,6.000712,-89.731613,89.733086,-0.008317,90.059113,0.075392,444.599274,-46.723179,809.984253,174.074692,-0.060573,179.991608,False,True,
2,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T18:56:23.899654-04:00,1787007383,899623248,1787007383899623248,159.317281,,,,645,644,1,0,0,645,AxisTarget,1,False,True,True,False,6.000712,-89.731613,89.733086,-0.008317,90.059113,0.075392,444.599274,-46.723179,809.984253,174.074692,-0.060573,179.991608,False,True,
3,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T18:56:24.058373-04:00,1787007384,58367471,1787007384058367471,158.744223,,,,646,645,1,0,0,646,AxisTarget,1,False,True,False,False,6.000712,-89.731613,89.733086,-0.008317,90.059113,0.075392,444.599274,-46.723179,809.984253,174.074692,-0.060573,179.991608,False,True,
4,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T18:56:24.222192-04:00,1787007384,222153861,1787007384222153861,163.78639,,,,647,646,1,0,0,647,AxisTarget,1,False,True,False,False,6.000712,-89.731613,89.733086,-0.008317,90.059113,0.075392,444.599274,-46.723179,809.984253,174.074692,-0.060573,179.991608,False,True,
5,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T18:56:24.379705-04:00,1787007384,379682247,1787007384379682247,157.528386,,,,648,647,1,0,0,648,AxisTarget,1,False,True,False,False,6.000712,-89.731613,89.733086,-0.008317,90.059113,0.075392,444.599274,-46.723179,809.984253,174.074692,-0.060573,179.991608,False,True,
6,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T18:56:24.537922-04:00,1787007384,537894311,1787007384537894311,158.212064,,,,649,648,1,0,0,649,AxisTarget,1,False,True,False,False,6.000712,-89.731613,89.733086,-0.008317,90.059113,0.075392,444.599274,-46.723179,809.984253,174.074692,-0.060573,179.991608,False,True,
7,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T18:56:24.699532-04:00,1787007384,699517018,1787007384699517018,161.622707,,,,650,649,1,0,0,650,AxisTarget,1,False,True,False,False,6.000712,-89.731613,89.733086,-0.008317,90.059113,0.075392,444.599274,-46.723179,809.984253,174.074692,-0.060573,179.991608,False,True,
8,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T18:56:24.789721-04:00,1787007384,789705399,1787007384789705399,90.188381,,,,651,650,1,0,0,651,AxisTarget,1,False,True,False,False,6.000712,-89.731613,89.733086,-0.008317,90.059113,0.075392,444.599274,-46.723179,809.984253,174.074692,-0.060573,179.991608,False,True,
9,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T18:56:24.946701-04:00,1787007384,946669023,1787007384946669023,156.963624,,,,652,651,1,0,0,652,AxisTarget,1,False,True,False,False,6.000712,-89.731613,89.733086,-0.008317,90.059113,0.075392,444.599274,-46.723179,809.984253,174.074692,-0.060573,179.991608,False,True,
10,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T18:56:25.104204-04:00,1787007385,104181999,1787007385104181999,157.512976,,,,653,652,1,0,0,653,AxisTarget,1,False,True,False,False,6.000712,-89.731613,89.733086,-0.008317,90.059113,0.075392,444.599274,-46.723179,809.984253,174.074692,-0.060573,179.991608,False,True,
11,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T18:56:25.193292-04:00,1787007385,193269092,1787007385193269092,89.087093,,,,654,653,1,0,0,654,AxisTarget,1,False,True,False,False,6.000712,-89.731613,89.733086,-0.008317,90.059113,0.075392,444.599274,-46.723179,809.984253,174.074692,-0.060573,179.991608,False,True,
12,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T18:56:25.351842-04:00,1787007385,351813323,1787007385351813323,158.544231,,,,655,654,1,0,0,655,AxisTarget,1,False,True,False,False,6.000712,-89.731613,89.733086,-0.008317,90.059113,0.075392,444.599274,-46.723179,809.984253,174.074692,-0.060573,179.991608,False,True,
13,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T18:56:25.515814-04:00,1787007385,515791520,1787007385515791520,163.978197,,,,656,655,1,0,0,656,AxisTarget,1,False,True,False,False,6.000712,-89.731613,89.733086,-0.008317,90.059113,0.075392,444.599274,-46.723179,809.984253,174.074692,-0.060573,179.991608,False,True,
