receive_index,topic_name,message_type,receive_wall_time_iso8601,receive_ros_time_sec,receive_ros_time_nanosec,receive_ros_time_ns,delta_receive_ms,source_stamp_sec,source_stamp_nanosec,source_stamp_ns,sequence,prev_sequence,delta_seq,sequence_gap,estimated_missing,seq,mode,status,move_ready,limits_ok,delta_ok,move_executed,axis_actual.A1,axis_actual.A2,axis_actual.A3,axis_actual.A4,axis_actual.A5,axis_actual.A6,position_actual.X,position_actual.Y,position_actual.Z,position_actual.A,position_actual.B,position_actual.C,rx_counter,bridge_safe_mode,bridge_allow_motion,unmapped_json
1,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T10:58:16.665386-04:00,1787410696,665369573,1787410696665369573,,,,,8805,,,0,0,8805,AxisTarget,1,False,False,False,False,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,674.677551,-2.331047,885.201538,-1e-06,-0.008562,0.004937,2204,False,True,
2,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T10:58:16.866763-04:00,1787410696,866743684,1787410696866743684,201.374111,,,,8806,8805,1,0,0,8806,AxisTarget,1,False,False,False,False,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,674.677551,-2.331047,885.201538,-1e-06,-0.008562,0.004937,2205,False,True,
3,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T10:58:16.983450-04:00,1787410696,983434196,1787410696983434196,116.690512,,,,8807,8806,1,0,0,8807,AxisTarget,1,False,False,False,False,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,674.677551,-2.331047,885.201538,-1e-06,-0.008562,0.004937,2205,False,True,
4,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T10:58:17.105664-04:00,1787410697,105647487,1787410697105647487,122.213291,,,,8808,8807,1,0,0,8808,AxisTarget,1,False,False,False,False,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,674.677551,-2.331047,885.201538,-1e-06,-0.008562,0.004937,2205,False,True,
5,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T10:58:17.222769-04:00,1787410697,222744147,1787410697222744147,117.09666,,,,8809,8808,1,0,0,8809,AxisTarget,1,False,False,False,False,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,674.677551,-2.331047,885.201538,-1e-06,-0.008562,0.004937,2205,False,True,
6,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T10:58:17.414535-04:00,1787410697,414513879,1787410697414513879,191.769732,,,,8810,8809,1,0,0,8810,AxisTarget,1,False,False,False,False,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,674.677551,-2.331047,885.201538,-1e-06,-0.008562,0.004937,2206,False,True,
7,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T10:58:17.529523-04:00,1787410697,529501399,1787410697529501399,114.98752,,,,8811,8810,1,0,0,8811,AxisTarget,1,False,False,False,False,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,674.677551,-2.331047,885.201538,-1e-06,-0.008562,0.004937,2206,False,True,
8,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T10:58:17.638439-04:00,1787410697,638422122,1787410697638422122,108.920723,,,,8812,8811,1,0,0,8812,AxisTarget,1,False,False,False,False,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,674.677551,-2.331047,885.201538,-1e-06,-0.008562,0.004937,2206,False,True,
9,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T10:58:17.749239-04:00,1787410697,749225938,1787410697749225938,110.803816,,,,8813,8812,1,0,0,8813,AxisTarget,1,False,False,False,False,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,674.677551,-2.331047,885.201538,-1e-06,-0.008562,0.004937,2206,False,True,
10,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T10:58:17.936828-04:00,1787410697,936810261,1787410697936810261,187.584323,,,,8814,8813,1,0,0,8814,AxisTarget,1,False,False,False,False,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,674.677551,-2.331047,885.201538,-1e-06,-0.008562,0.004937,2207,False,True,
11,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T10:58:18.045827-04:00,1787410698,45801617,1787410698045801617,108.991356,,,,8815,8814,1,0,0,8815,AxisTarget,1,False,False,False,False,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,674.677551,-2.331047,885.201538,-1e-06,-0.008562,0.004937,2207,False,True,
12,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T10:58:18.158831-04:00,1787410698,158810865,1787410698158810865,113.009248,,,,8816,8815,1,0,0,8816,AxisTarget,1,False,False,False,False,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,674.677551,-2.331047,885.201538,-1e-06,-0.008562,0.004937,2207,False,True,
13,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T10:58:18.271466-04:00,1787410698,271443240,1787410698271443240,112.632375,,,,8817,8816,1,0,0,8817,AxisTarget,1,False,False,False,False,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,674.677551,-2.331047,885.201538,-1e-06,-0.008562,0.004937,2207,False,True,
14,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T10:58:18.445251-04:00,1787410698,445240961,1787410698445240961,173.797721,,,,8818,8817,1,0,0,8818,AxisTarget,1,False,False,False,False,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,674.677551,-2.331047,885.201538,-1e-06,-0.008562,0.004937,2208,False,True,
15,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T10:58:18.554894-04:00,1787410698,554877198,1787410698554877198,109.636237,,,,8819,8818,1,0,0,8819,AxisTarget,1,False,False,False,False,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,674.677551,-2.331047,885.201538,-1e-06,-0.008562,0.004937,2208,False,True,
16,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T10:58:18.669389-04:00,1787410698,669379130,1787410698669379130,114.501932,,,,8820,8819,1,0,0,8820,AxisTarget,1,False,False,False,False,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,674.677551,-2.331047,885.201538,-1e-06,-0.008562,0.004937,2208,False,True,
17,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T10:58:18.789983-04:00,1787410698,789969460,1787410698789969460,120.59033,,,,8821,8820,1,0,0,8821,AxisTarget,1,False,False,False,False,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,674.677551,-2.331047,885.201538,-1e-06,-0.008562,0.004937,2208,False,True,
18,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T10:58:18.979557-04:00,1787410698,979544360,1787410698979544360,189.5749,,,,8822,8821,1,0,0,8822,AxisTarget,1,False,False,False,False,-1e-06,-90.0,90.0,-0.004939,0.131994,2.1e-05,674.672119,-2.331019,884.94873,5e-06,0.054502,0.004929,2209,False,True,
19,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T10:58:19.089526-04:00,1787410699,89510050,1787410699089510050,109.96569,,,,8823,8822,1,0,0,8823,AxisTarget,1,False,False,False,False,-6e-06,-90.0,90.000008,-0.004943,0.866975,0.000121,674.607239,-2.33076,882.562195,6.2e-05,0.649949,0.004853,2209,False,True,
20,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T10:58:19.205947-04:00,1787410699,205927145,1787410699205927145,116.417095,,,,8824,8823,1,0,0,8824,AxisTarget,1,False,False,False,False,-1.4e-05,-90.0,90.000015,-0.004947,1.716581,0.000234,674.47168,-2.33039,879.158447,0.000142,1.499541,0.004746,2209,False,True,
21,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T10:58:19.318651-04:00,1787410699,318637517,1787410699318637517,112.710372,,,,8825,8824,1,0,0,8825,AxisTarget,1,False,False,False,False,-2.1e-05,-90.000008,90.000015,-0.004952,2.596534,0.000352,674.278137,-2.330006,875.635559,0.000226,2.379499,0.004636,2209,False,True,
22,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T10:58:19.497196-04:00,1787410699,497189964,1787410699497189964,178.552447,,,,8826,8825,1,0,0,8826,AxisTarget,1,False,False,False,False,-3.3e-05,-90.000008,90.000031,-0.004959,3.961977,0.000533,673.870728,-2.32941,870.176025,0.000357,3.74495,0.004468,2210,False,True,
