receive_index,topic_name,message_type,receive_wall_time_iso8601,receive_ros_time_sec,receive_ros_time_nanosec,receive_ros_time_ns,delta_receive_ms,source_stamp_sec,source_stamp_nanosec,source_stamp_ns,sequence,prev_sequence,delta_seq,sequence_gap,estimated_missing,seq,mode,status,move_ready,limits_ok,delta_ok,move_executed,axis_actual.A1,axis_actual.A2,axis_actual.A3,axis_actual.A4,axis_actual.A5,axis_actual.A6,position_actual.X,position_actual.Y,position_actual.Z,position_actual.A,position_actual.B,position_actual.C,rx_counter,bridge_safe_mode,bridge_allow_motion,batch_seq,batch_consumed,batch_active,unmapped_json
1,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-27T21:22:12.232898-04:00,1787880132,232892388,1787880132232892388,,,,,1108,,,0,0,1108,AxisTarget,1,True,True,True,False,1.0,-90.0,90.0,-0.0049,-0.0039,0.0,524.920044,-9.162514,890.005432,50.483074,89.993736,51.483074,40,False,True,0,0,False,
2,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-27T21:22:12.359885-04:00,1787880132,359878809,1787880132359878809,126.986421,,,,1109,1108,1,0,0,1109,AxisTarget,1,True,True,True,False,1.0,-90.0,90.0,-0.0049,-0.0039,0.0,524.920044,-9.162514,890.005432,50.483074,89.993736,51.483074,40,False,True,0,0,False,
3,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-27T21:22:12.486814-04:00,1787880132,486806777,1787880132486806777,126.927968,,,,1110,1109,1,0,0,1110,AxisTarget,1,True,True,True,False,1.0,-90.0,90.0,-0.0049,-0.0039,0.0,524.920044,-9.162514,890.005432,50.483074,89.993736,51.483074,40,False,True,0,0,False,
4,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-27T21:22:12.711240-04:00,1787880132,711229095,1787880132711229095,224.422318,,,,1111,1110,1,0,0,1111,AxisTarget,1,True,True,True,False,1.0,-90.0,90.0,-0.0049,-0.0039,0.0,524.920044,-9.162514,890.005432,50.483074,89.993736,51.483074,41,False,True,0,0,False,
5,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-27T21:22:12.839574-04:00,1787880132,839551376,1787880132839551376,128.322281,,,,1112,1111,1,0,0,1112,AxisTarget,1,True,True,True,False,1.0,-90.0,90.0,-0.0049,-0.0039,0.0,524.920044,-9.162514,890.005432,50.483074,89.993736,51.483074,41,False,True,0,0,False,
6,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-27T21:22:12.969904-04:00,1787880132,969892954,1787880132969892954,130.341578,,,,1113,1112,1,0,0,1113,AxisTarget,1,True,True,True,False,1.0,-90.0,90.0,-0.0049,-0.0039,0.0,524.920044,-9.162514,890.005432,50.483074,89.993736,51.483074,41,False,True,0,0,False,
7,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-27T21:22:13.093718-04:00,1787880133,93696259,1787880133093696259,123.803305,,,,1114,1113,1,0,0,1114,AxisTarget,1,True,True,True,False,1.0,-90.0,90.0,-0.0049,-0.0039,0.0,524.920044,-9.162514,890.005432,50.483074,89.993736,51.483074,41,False,True,0,0,False,
8,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-27T21:22:13.311947-04:00,1787880133,311919110,1787880133311919110,218.222851,,,,1115,1114,1,0,0,1115,AxisTarget,1,True,True,True,False,1.0,-90.0,90.0,-0.0049,-0.0039,0.0,524.920044,-9.162514,890.005432,50.483074,89.993736,51.483074,42,False,True,0,0,False,
9,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-27T21:22:13.437869-04:00,1787880133,437847009,1787880133437847009,125.927899,,,,1116,1115,1,0,0,1116,AxisTarget,1,True,True,True,False,1.0,-90.0,90.0,-0.0049,-0.0039,0.0,524.920044,-9.162514,890.005432,50.483074,89.993736,51.483074,42,False,True,0,0,False,
10,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-27T21:22:13.567478-04:00,1787880133,567472833,1787880133567472833,129.625824,,,,1117,1116,1,0,0,1117,AxisTarget,1,True,True,True,False,1.0,-90.0,90.0,-0.0049,-0.0039,0.0,524.920044,-9.162514,890.005432,50.483074,89.993736,51.483074,42,False,True,0,0,False,
