receive_index,topic_name,message_type,receive_wall_time_iso8601,receive_ros_time_sec,receive_ros_time_nanosec,receive_ros_time_ns,delta_receive_ms,source_stamp_sec,source_stamp_nanosec,source_stamp_ns,sequence,prev_sequence,delta_seq,sequence_gap,estimated_missing,seq,mode,status,move_ready,limits_ok,delta_ok,move_executed,axis_actual.A1,axis_actual.A2,axis_actual.A3,axis_actual.A4,axis_actual.A5,axis_actual.A6,position_actual.X,position_actual.Y,position_actual.Z,position_actual.A,position_actual.B,position_actual.C,rx_counter,bridge_safe_mode,bridge_allow_motion,unmapped_json
1,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T20:14:51.247363-04:00,1787444091,247335619,1787444091247335619,,,,,17522,,,0,0,17522,AxisTarget,1,False,True,True,False,0.0051,-89.863602,90.060799,0.1525,-0.0188,-0.1752,526.200745,-0.046768,888.303894,172.743301,89.820168,172.748383,5320,False,True,
2,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T20:14:51.384238-04:00,1787444091,384211444,1787444091384211444,136.875825,,,,17523,17522,1,0,0,17523,AxisTarget,1,False,True,True,False,0.0051,-89.863602,90.060799,0.1525,-0.0188,-0.1752,526.200745,-0.046768,888.303894,172.743301,89.820168,172.748383,5320,False,True,
3,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T20:14:51.469083-04:00,1787444091,469076950,1787444091469076950,84.865506,,,,17524,17523,1,0,0,17524,AxisTarget,1,False,True,True,False,0.0051,-89.863602,90.060799,0.1525,-0.0188,-0.1752,526.200745,-0.046768,888.303894,172.743301,89.820168,172.748383,5320,False,True,
4,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T20:14:51.584081-04:00,1787444091,584072881,1787444091584072881,114.995931,,,,17525,17524,1,0,0,17525,AxisTarget,1,False,True,True,False,0.0051,-89.863602,90.060799,0.1525,-0.0188,-0.1752,526.200745,-0.046768,888.303894,172.743301,89.820168,172.748383,5320,False,True,
5,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T20:14:51.770468-04:00,1787444091,770441213,1787444091770441213,186.368332,,,,17526,17525,1,0,0,17526,AxisTarget,1,False,True,True,False,0.0051,-89.863602,90.060799,0.1525,-0.0188,-0.1752,526.200745,-0.046768,888.303894,172.743301,89.820168,172.748383,5321,False,True,
6,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T20:14:51.881506-04:00,1787444091,881500105,1787444091881500105,111.058892,,,,17527,17526,1,0,0,17527,AxisTarget,1,False,True,True,False,0.0051,-89.863602,90.060799,0.1525,-0.0188,-0.1752,526.200745,-0.046768,888.303894,172.743301,89.820168,172.748383,5321,False,True,
7,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T20:14:51.993253-04:00,1787444091,993247577,1787444091993247577,111.747472,,,,17528,17527,1,0,0,17528,AxisTarget,1,False,True,True,False,0.0051,-89.863602,90.060799,0.1525,-0.0188,-0.1752,526.200745,-0.046768,888.303894,172.743301,89.820168,172.748383,5321,False,True,
8,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T20:14:52.105311-04:00,1787444092,105301402,1787444092105301402,112.053825,,,,17529,17528,1,0,0,17529,AxisTarget,1,False,True,True,False,0.0051,-89.863602,90.060799,0.1525,-0.0188,-0.1752,526.200745,-0.046768,888.303894,172.743301,89.820168,172.748383,5321,False,True,
9,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T20:14:52.292284-04:00,1787444092,292277072,1787444092292277072,186.97567,,,,17530,17529,1,0,0,17530,AxisTarget,1,False,True,True,False,0.0051,-89.863602,90.060799,0.1525,-0.0188,-0.1752,526.200745,-0.046768,888.303894,172.743301,89.820168,172.748383,5322,False,True,
10,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T20:14:52.404925-04:00,1787444092,404916744,1787444092404916744,112.639672,,,,17531,17530,1,0,0,17531,AxisTarget,1,False,True,True,False,0.0051,-89.863602,90.060799,0.1525,-0.0188,-0.1752,526.200745,-0.046768,888.303894,172.743301,89.820168,172.748383,5322,False,True,
11,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T20:14:52.518094-04:00,1787444092,518081749,1787444092518081749,113.165005,,,,17532,17531,1,0,0,17532,AxisTarget,1,False,True,True,False,0.0051,-89.863602,90.060799,0.1525,-0.0188,-0.1752,526.200745,-0.046768,888.303894,172.743301,89.820168,172.748383,5322,False,True,
12,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T20:14:52.625158-04:00,1787444092,625150894,1787444092625150894,107.069145,,,,17533,17532,1,0,0,17533,AxisTarget,1,False,True,True,False,0.0051,-89.863602,90.060799,0.1525,-0.0188,-0.1752,526.200745,-0.046768,888.303894,172.743301,89.820168,172.748383,5322,False,True,
13,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T20:14:52.805102-04:00,1787444092,805090945,1787444092805090945,179.940051,,,,17534,17533,1,0,0,17534,AxisTarget,1,False,True,True,False,0.0051,-89.863602,90.060799,0.1525,-0.0188,-0.1752,526.200745,-0.046768,888.303894,172.743301,89.820168,172.748383,5323,False,True,
