receive_index,topic_name,message_type,receive_wall_time_iso8601,receive_ros_time_sec,receive_ros_time_nanosec,receive_ros_time_ns,delta_receive_ms,source_stamp_sec,source_stamp_nanosec,source_stamp_ns,sequence,prev_sequence,delta_seq,sequence_gap,estimated_missing,seq,mode,status,move_ready,limits_ok,delta_ok,move_executed,axis_actual.A1,axis_actual.A2,axis_actual.A3,axis_actual.A4,axis_actual.A5,axis_actual.A6,position_actual.X,position_actual.Y,position_actual.Z,position_actual.A,position_actual.B,position_actual.C,rx_counter,bridge_safe_mode,bridge_allow_motion,batch_seq,batch_consumed,batch_active,unmapped_json
1,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-28T18:47:15.553168-04:00,1787957235,553154535,1787957235553154535,,,,,31768,,,0,0,31768,AxisTarget,1,False,True,True,False,1.9767,-90.1511,89.843498,0.0013,0.1745,-0.0782,523.294312,-18.060785,892.438599,28.040628,89.846283,30.017242,7753,False,True,33,0,False,
2,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-28T18:47:15.776470-04:00,1787957235,776463950,1787957235776463950,223.309415,,,,31769,31768,1,0,0,31769,AxisTarget,1,False,True,True,False,1.9767,-90.1511,89.843498,0.0013,0.1745,-0.0782,523.294312,-18.060785,892.438599,28.040628,89.846283,30.017242,7754,False,True,33,0,False,
3,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-28T18:47:15.903252-04:00,1787957235,903223553,1787957235903223553,126.759603,,,,31770,31769,1,0,0,31770,AxisTarget,1,False,True,True,False,1.9767,-90.1511,89.843498,0.0013,0.1745,-0.0782,523.294312,-18.060785,892.438599,28.040628,89.846283,30.017242,7754,False,True,33,0,False,
4,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-28T18:47:16.030679-04:00,1787957236,30651235,1787957236030651235,127.427682,,,,31771,31770,1,0,0,31771,AxisTarget,1,False,True,True,False,1.9767,-90.1511,89.843498,0.0013,0.1745,-0.0782,523.294312,-18.060785,892.438599,28.040628,89.846283,30.017242,7754,False,True,33,0,False,
5,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-28T18:47:16.159941-04:00,1787957236,159927300,1787957236159927300,129.276065,,,,31772,31771,1,0,0,31772,AxisTarget,1,False,True,True,False,1.9767,-90.1511,89.843498,0.0013,0.1745,-0.0782,523.294312,-18.060785,892.438599,28.040628,89.846283,30.017242,7754,False,True,33,0,False,
6,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-28T18:47:16.384043-04:00,1787957236,384011715,1787957236384011715,224.084415,,,,31773,31772,1,0,0,31773,AxisTarget,1,False,True,True,False,1.9767,-90.1511,89.843498,0.0013,0.1745,-0.0782,523.294312,-18.060785,892.438599,28.040628,89.846283,30.017242,7755,False,True,33,0,False,
7,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-28T18:47:16.506846-04:00,1787957236,506840131,1787957236506840131,122.828416,,,,31774,31773,1,0,0,31774,AxisTarget,1,False,True,True,False,1.9767,-90.1511,89.843498,0.0013,0.1745,-0.0782,523.294312,-18.060785,892.438599,28.040628,89.846283,30.017242,7755,False,True,33,0,False,
8,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-28T18:47:16.632258-04:00,1787957236,632249931,1787957236632249931,125.4098,,,,31775,31774,1,0,0,31775,AxisTarget,1,False,True,True,False,1.9767,-90.1511,89.843498,0.0013,0.1745,-0.0782,523.294312,-18.060785,892.438599,28.040628,89.846283,30.017242,7755,False,True,33,0,False,
9,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-28T18:47:16.759013-04:00,1787957236,758995408,1787957236758995408,126.745477,,,,31776,31775,1,0,0,31776,AxisTarget,1,False,True,True,False,1.9767,-90.1511,89.843498,0.0013,0.1745,-0.0782,523.294312,-18.060785,892.438599,28.040628,89.846283,30.017242,7755,False,True,33,0,False,
10,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-28T18:47:16.979058-04:00,1787957236,979047896,1787957236979047896,220.052488,,,,31777,31776,1,0,0,31777,AxisTarget,1,False,True,True,False,1.9767,-90.1511,89.843498,0.0013,0.1745,-0.0782,523.294312,-18.060785,892.438599,28.040628,89.846283,30.017242,7756,False,True,33,0,False,
