receive_index,topic_name,message_type,receive_wall_time_iso8601,receive_ros_time_sec,receive_ros_time_nanosec,receive_ros_time_ns,delta_receive_ms,source_stamp_sec,source_stamp_nanosec,source_stamp_ns,sequence,prev_sequence,delta_seq,sequence_gap,estimated_missing,seq,mode,status,move_ready,limits_ok,delta_ok,move_executed,axis_actual.A1,axis_actual.A2,axis_actual.A3,axis_actual.A4,axis_actual.A5,axis_actual.A6,position_actual.X,position_actual.Y,position_actual.Z,position_actual.A,position_actual.B,position_actual.C,rx_counter,bridge_safe_mode,bridge_allow_motion,batch_seq,batch_consumed,batch_active,unmapped_json
1,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-28T19:03:54.731165-04:00,1787958234,731150119,1787958234731150119,,,,,38220,,,0,0,38220,AxisTarget,1,False,True,False,False,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,525.0,0.0,890.005493,51.578213,89.993698,51.578213,9278,False,True,44,0,False,
2,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-28T19:03:54.959102-04:00,1787958234,959084521,1787958234959084521,227.934402,,,,38221,38220,1,0,0,38221,AxisTarget,1,False,True,False,False,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,525.0,0.0,890.005493,51.578213,89.993698,51.578213,9279,False,True,44,0,False,
3,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-28T19:03:55.081148-04:00,1787958235,81136020,1787958235081136020,122.051499,,,,38222,38221,1,0,0,38222,AxisTarget,1,False,True,False,False,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,525.0,0.0,890.005493,51.578213,89.993698,51.578213,9279,False,True,44,0,False,
4,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-28T19:03:55.206517-04:00,1787958235,206509296,1787958235206509296,125.373276,,,,38223,38222,1,0,0,38223,AxisTarget,1,False,True,False,False,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,525.0,0.0,890.005493,51.578213,89.993698,51.578213,9279,False,True,44,0,False,
5,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-28T19:03:55.333139-04:00,1787958235,333128777,1787958235333128777,126.619481,,,,38224,38223,1,0,0,38224,AxisTarget,1,False,True,False,False,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,525.0,0.0,890.005493,51.578213,89.993698,51.578213,9279,False,True,44,0,False,
6,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-28T19:03:55.547379-04:00,1787958235,547362993,1787958235547362993,214.234216,,,,38225,38224,1,0,0,38225,AxisTarget,1,False,True,False,False,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,525.0,0.0,890.005493,51.578213,89.993698,51.578213,9280,False,True,44,0,False,
7,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-28T19:03:55.671023-04:00,1787958235,671011226,1787958235671011226,123.648233,,,,38226,38225,1,0,0,38226,AxisTarget,1,False,True,False,False,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,525.0,0.0,890.005493,51.578213,89.993698,51.578213,9280,False,True,44,0,False,
8,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-28T19:03:55.796130-04:00,1787958235,796118042,1787958235796118042,125.106816,,,,38227,38226,1,0,0,38227,AxisTarget,1,False,True,False,False,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,525.0,0.0,890.005493,51.578213,89.993698,51.578213,9280,False,True,44,0,False,
9,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-28T19:03:55.918797-04:00,1787958235,918791307,1787958235918791307,122.673265,,,,38228,38227,1,0,0,38228,AxisTarget,1,False,True,False,False,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,525.0,0.0,890.005493,51.578213,89.993698,51.578213,9280,False,True,44,0,False,
10,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-28T19:03:56.139338-04:00,1787958236,139327887,1787958236139327887,220.53658,,,,38229,38228,1,0,0,38229,AxisTarget,1,False,True,False,False,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,525.0,0.0,890.005493,51.578213,89.993698,51.578213,9281,False,True,44,0,False,
