receive_index,topic_name,message_type,receive_wall_time_iso8601,receive_ros_time_sec,receive_ros_time_nanosec,receive_ros_time_ns,delta_receive_ms,source_stamp_sec,source_stamp_nanosec,source_stamp_ns,sequence,prev_sequence,delta_seq,sequence_gap,estimated_missing,seq,mode,status,move_ready,limits_ok,delta_ok,move_executed,axis_actual.A1,axis_actual.A2,axis_actual.A3,axis_actual.A4,axis_actual.A5,axis_actual.A6,position_actual.X,position_actual.Y,position_actual.Z,position_actual.A,position_actual.B,position_actual.C,rx_counter,bridge_safe_mode,bridge_allow_motion,batch_seq,batch_consumed,batch_active,unmapped_json
1,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-28T20:04:55.241562-04:00,1787961895,241551110,1787961895241551110,,,,,62119,,,0,0,62119,AxisTarget,1,False,True,True,False,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,674.677551,-2.331047,885.201538,-1e-06,-0.008562,0.004937,15325,False,True,44,0,False,
2,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-28T20:04:55.456005-04:00,1787961895,455978614,1787961895455978614,214.427504,,,,62120,62119,1,0,0,62120,AxisTarget,1,False,True,True,False,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,674.677551,-2.331047,885.201538,-1e-06,-0.008562,0.004937,15326,False,True,44,0,False,
3,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-28T20:04:55.578543-04:00,1787961895,578535430,1787961895578535430,122.556816,,,,62121,62120,1,0,0,62121,AxisTarget,1,False,True,True,False,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,674.677551,-2.331047,885.201538,-1e-06,-0.008562,0.004937,15326,False,True,44,0,False,
4,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-28T20:04:55.702468-04:00,1787961895,702448562,1787961895702448562,123.913132,,,,62122,62121,1,0,0,62122,AxisTarget,1,False,True,True,False,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,674.677551,-2.331047,885.201538,-1e-06,-0.008562,0.004937,15326,False,True,44,0,False,
5,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-28T20:04:55.825501-04:00,1787961895,825495597,1787961895825495597,123.047035,,,,62123,62122,1,0,0,62123,AxisTarget,1,False,True,True,False,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,674.677551,-2.331047,885.201538,-1e-06,-0.008562,0.004937,15326,False,True,44,0,False,
6,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-28T20:04:56.045529-04:00,1787961896,45517731,1787961896045517731,220.022134,,,,62124,62123,1,0,0,62124,AxisTarget,1,False,True,True,False,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,674.677551,-2.331047,885.201538,-1e-06,-0.008562,0.004937,15327,False,True,44,0,False,
7,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-28T20:04:56.169518-04:00,1787961896,169506910,1787961896169506910,123.989179,,,,62125,62124,1,0,0,62125,AxisTarget,1,False,True,True,False,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,674.677551,-2.331047,885.201538,-1e-06,-0.008562,0.004937,15327,False,True,44,0,False,
8,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-28T20:04:56.293292-04:00,1787961896,293286622,1787961896293286622,123.779712,,,,62126,62125,1,0,0,62126,AxisTarget,1,False,True,True,False,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,674.677551,-2.331047,885.201538,-1e-06,-0.008562,0.004937,15327,False,True,44,0,False,
9,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-28T20:04:56.415498-04:00,1787961896,415492397,1787961896415492397,122.205775,,,,62127,62126,1,0,0,62127,AxisTarget,1,False,True,True,False,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,674.677551,-2.331047,885.201538,-1e-06,-0.008562,0.004937,15327,False,True,44,0,False,
10,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-28T20:04:56.634880-04:00,1787961896,634854458,1787961896634854458,219.362061,,,,62128,62127,1,0,0,62128,AxisTarget,1,False,True,True,False,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,674.677551,-2.331047,885.201538,-1e-06,-0.008562,0.004937,15328,False,True,44,0,False,
